NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
ambassador             ambassador-86cb75cdd9-8qxsc                                       1/1     Running     2          52m     10.244.104.14    node2   <none>           <none>
ambassador             ambassador-86cb75cdd9-jj2tv                                       1/1     Running     0          52m     10.244.135.20    node3   <none>           <none>
ambassador             ambassador-86cb75cdd9-ntkx9                                       1/1     Running     0          52m     10.244.166.150   node1   <none>           <none>
auditlog               auditlog-598448df74-5dnt5                                         1/1     Running     0          40m     10.244.135.50    node3   <none>           <none>
auditlog               auditlog-db-contract-1.0.0-g7e8ebb2f10-8xcjc                      0/1     Completed   0          40m     10.244.135.48    node3   <none>           <none>
auditlog               auditlog-db-create-1.0.0-g7e8ebb2f10-htbzt                        0/1     Completed   0          40m     10.244.104.31    node2   <none>           <none>
auditlog               auditlog-db-init-1.0.0-g7e8ebb2f10-jj68d                          0/1     Completed   0          40m     10.244.166.178   node1   <none>           <none>
auditlog               auditlog-db-partition-1.0.0-g7e8ebb2f10-kh6r6                     0/1     Completed   0          40m     10.244.135.49    node3   <none>           <none>
common                 ambassador-auth-jwt-6b47ffcffb-wb8qm                              1/1     Running     5          51m     10.244.166.155   node1   <none>           <none>
common                 atom-db-0                                                         1/1     Running     0          51m     10.244.104.15    node2   <none>           <none>
common                 atom-db-1                                                         1/1     Running     0          51m     10.244.166.152   node1   <none>           <none>
common                 atom-db-2                                                         1/1     Running     0          50m     10.244.135.28    node3   <none>           <none>
common                 cert-manager-85c745f8b8-74llp                                     1/1     Running     0          53m     10.244.135.19    node3   <none>           <none>
common                 cert-manager-cainjector-7c96fd94c-gt5xr                           1/1     Running     1          53m     10.244.166.148   node1   <none>           <none>
common                 cert-manager-webhook-8b857c49d-5pkzz                              1/1     Running     0          53m     10.244.166.149   node1   <none>           <none>
common                 iam-5578fd76cc-sn6jp                                              1/1     Running     0          51m     10.244.135.25    node3   <none>           <none>
common                 iam-db-contract-0.0.2-g2a1e881111-4tdjz                           0/1     Completed   0          51m     10.244.135.26    node3   <none>           <none>
common                 iam-db-create-0.0.2-g2a1e881111-fftch                             0/1     Completed   0          51m     10.244.166.154   node1   <none>           <none>
common                 iam-db-init-0.0.2-g2a1e881111-w7kx8                               0/1     Completed   0          51m     10.244.166.153   node1   <none>           <none>
