NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
ambassador             ambassador-86cb75cdd9-7n4dn                                       1/1     Running     2          38h     10.244.135.21    node3   <none>           <none>
ambassador             ambassador-86cb75cdd9-d9k6p                                       1/1     Running     2          38h     10.244.166.143   node1   <none>           <none>
ambassador             ambassador-86cb75cdd9-pbbgv                                       1/1     Running     1          38h     10.244.104.19    node2   <none>           <none>
auditlog               auditlog-598448df74-qsghg                                         1/1     Running     0          38h     10.244.166.166   node1   <none>           <none>
auditlog               auditlog-db-contract-1.0.0-g7e8ebb2f10-22blb                      0/1     Completed   0          38h     10.244.166.165   node1   <none>           <none>
auditlog               auditlog-db-create-1.0.0-g7e8ebb2f10-wt7xn                        0/1     Completed   0          38h     10.244.135.46    node3   <none>           <none>
auditlog               auditlog-db-init-1.0.0-g7e8ebb2f10-cxs22                          0/1     Completed   0          38h     10.244.166.167   node1   <none>           <none>
auditlog               auditlog-db-partition-1.0.0-g7e8ebb2f10-5slgg                     0/1     Completed   0          38h     10.244.166.164   node1   <none>           <none>
auditlog               auditlog-purge-cron-27290880-dhl72                                0/1     Completed   0          26h     10.244.135.31    node3   <none>           <none>
auditlog               auditlog-purge-cron-27292320-6mht5                                0/1     Completed   0          147m    10.244.135.34    node3   <none>           <none>
common                 ambassador-auth-jwt-7c5c5b8d6b-cl92r                              1/1     Running     2          38h     10.244.135.27    node3   <none>           <none>
common                 atom-db-0                                                         1/1     Running     0          38h     10.244.135.22    node3   <none>           <none>
common                 atom-db-1                                                         1/1     Running     0          38h     10.244.104.21    node2   <none>           <none>
common                 atom-db-2                                                         1/1     Running     0          38h     10.244.166.148   node1   <none>           <none>
common                 cert-manager-85c745f8b8-rw84w                                     1/1     Running     0          38h     10.244.104.18    node2   <none>           <none>
common                 cert-manager-cainjector-7c96fd94c-xhknt                           1/1     Running     3          38h     10.244.135.20    node3   <none>           <none>
common                 cert-manager-webhook-8b857c49d-8w7nd                              1/1     Running     0          38h     10.244.166.142   node1   <none>           <none>
common                 iam-5578fd76cc-xjbdj                                              1/1     Running     2          38h     10.244.166.147   node1   <none>           <none>
common                 iam-db-contract-0.0.2-g2a1e881111-82phw                           0/1     Completed   0          38h     10.244.135.26    node3   <none>           <none>
common                 iam-db-create-0.0.2-g2a1e881111-kz2cq                             0/1     Completed   0          38h     10.244.104.24    node2   <none>           <none>
common                 iam-db-init-0.0.2-g2a1e881111-lxlj7                               0/1     Completed   0          38h     10.244.135.25    node3   <none>           <none>
common                 iam-db-post-init-0.0.2-g2a1e881111-2g8fn                          0/1     Completed   0          38h     10.244.104.22    node2   <none>           <none>
common                 iam-populate-0.0.2-g2a1e881111-b5qwf                              0/1     Completed   0          38h     10.244.104.23    node2   <none>           <none>
common                 kafka-0                                                           2/2     Running     0          38h     10.244.166.146   node1   <none>           <none>
common                 kafka-1                                                           2/2     Running     0          38h     10.244.104.26    node2   <none>           <none>
common                 kafka-2                                                           2/2     Running     0          38h     10.244.135.30    node3   <none>           <none>
common                 local-volume-provisioner-pf65p                                    1/1     Running     0          38h     10.244.135.15    node3   <none>           <none>
common                 local-volume-provisioner-sc6kv                                    1/1     Running     0          38h     10.244.166.139   node1   <none>           <none>
common                 local-volume-provisioner-v7xxx                                    1/1     Running     0          38h     10.244.104.13    node2   <none>           <none>
common                 postgres-operator-65d76f55c6-2vht2                                1/1     Running     0          38h     10.244.166.144   node1   <none>           <none>
common                 storage-75d9768876-jnz67                                          1/1     Running     0          38h     10.244.135.24    node3   <none>           <none>
common                 zookeeper-0                                                       1/1     Running     0          38h     10.244.104.20    node2   <none>           <none>
common                 zookeeper-1                                                       1/1     Running     0          38h     10.244.166.145   node1   <none>           <none>
common                 zookeeper-2                                                       1/1     Running     0          38h     10.244.135.23    node3   <none>           <none>
default                ins-healthbot-0.1.0-263-gad6d1f0-cd-dv-21.2-release-64-heav7ct5   0/1     Completed   0          38h     172.16.11.102    node2   <none>           <none>
ems                    dcs-5c8749c848-4sdrn                                              1/1     Running     0          38h     10.244.104.40    node2   <none>           <none>
ems                    devicemanager-7b4749dd44-pwl9t                                    1/1     Running     0          38h     10.244.104.42    node2   <none>           <none>
ems                    devicemanager-copyiamsecret-0.0.2-g2a1e881111-p8qsw               0/1     Completed   0          38h     10.244.135.40    node3   <none>           <none>
ems                    devicemanager-db-contract-0.0.2-g2a1e881111-cqspq                 0/1     Completed   0          38h     10.244.135.42    node3   <none>           <none>
ems                    devicemanager-db-create-0.0.2-g2a1e881111-qcc8z                   0/1     Completed   0          38h     10.244.104.41    node2   <none>           <none>
ems                    devicemanager-db-init-0.0.2-g2a1e881111-jkw64                     0/1     Completed   0          38h     10.244.135.41    node3   <none>           <none>
ems                    devicemanager-load-metadata-0.0.2-g2a1e881111-t9scc               0/1     Completed   2          38h     10.244.166.160   node1   <none>           <none>
ems                    devicemodel-85dfd8c649-vssr6                                      1/1     Running     0          38h     10.244.166.152   node1   <none>           <none>
ems                    devicemodel-connector-7f89cf969d-m7ptf                            1/1     Running     0          38h     10.244.104.32    node2   <none>           <none>
ems                    devicemodel-connector-copy-iam-secret-0.0.1-g2a1e881111-k9bxw     0/1     Completed   0          38h     10.244.104.33    node2   <none>           <none>
ems                    devicemodel-db-contract-0.0.3-g2a1e881111-c696b                   0/1     Completed   0          38h     10.244.166.151   node1   <none>           <none>
ems                    devicemodel-db-create-0.0.3-g2a1e881111-g8w67                     0/1     Completed   0          38h     10.244.135.33    node3   <none>           <none>
ems                    devicemodel-db-init-0.0.3-g2a1e881111-d5cc8                       0/1     Completed   0          38h     10.244.104.30    node2   <none>           <none>
ems                    devicemodel-db-post-init-0.0.3-g2a1e881111-t2v8t                  0/1     Completed   0          38h     10.244.104.31    node2   <none>           <none>
ems                    dmonproxy-78cd4b7457-dfpfg                                        1/1     Running     2          38h     10.244.135.44    node3   <none>           <none>
ems                    dmonproxy-db-contract-0.0.1-g2a1e881111-4zv6q                     0/1     Completed   0          38h     10.244.166.163   node1   <none>           <none>
ems                    dmonproxy-db-create-0.0.1-g2a1e881111-62ps8                       0/1     Completed   0          38h     10.244.104.45    node2   <none>           <none>
ems                    dmonproxy-db-init-0.0.1-g2a1e881111-8n4h5                         0/1     Completed   0          38h     10.244.135.45    node3   <none>           <none>
ems                    dpm-75f8cfc9f4-rqndw                                              1/1     Running     0          38h     10.244.135.43    node3   <none>           <none>
ems                    dpm-copystoragesecret-0.0.2-g2a1e881111-hvn9z                     0/1     Completed   0          38h     10.244.166.161   node1   <none>           <none>
ems                    dpm-db-contract-0.0.2-g2a1e881111-nljhg                           0/1     Completed   0          38h     10.244.104.44    node2   <none>           <none>
ems                    dpm-db-create-0.0.2-g2a1e881111-vwh2x                             0/1     Completed   0          38h     10.244.166.162   node1   <none>           <none>
ems                    dpm-db-init-0.0.2-g2a1e881111-k7zqg                               0/1     Completed   0          38h     10.244.104.43    node2   <none>           <none>
ems                    jobmanager-b6fc755b-p4jfk                                         1/1     Running     0          38h     10.244.166.155   node1   <none>           <none>
ems                    jobmanager-copyiamsecret-0.0.4-g2a1e881111-jmms8                  0/1     Completed   0          38h     10.244.166.156   node1   <none>           <none>
