NAMESPACE              NAME                                  TYPE           CLUSTER-IP       EXTERNAL-IP    PORT(S)                                                    AGE   SELECTOR
ambassador             ambassador                            LoadBalancer   10.105.45.95     172.16.11.50   80:32524/TCP,443:30633/TCP,7804:31186/TCP,7000:32410/TCP   53m   app.kubernetes.io/instance=ambassador,app.kubernetes.io/name=ambassador
ambassador             ambassador-admin                      ClusterIP      10.100.78.26     <none>         8877/TCP                                                   53m   app.kubernetes.io/instance=ambassador,app.kubernetes.io/name=ambassador
auditlog               auditlog                              ClusterIP      10.102.63.197    <none>         9091/TCP                                                   40m   app=auditlog
common                 ambassador-auth-jwt                   ClusterIP      10.97.253.134    <none>         80/TCP                                                     52m   app=ambassador-auth-jwt
common                 atom-db                               ClusterIP      10.99.114.134    <none>         5432/TCP                                                   52m   <none>
common                 atom-db-config                        ClusterIP      None             <none>         <none>                                                     51m   <none>
common                 atom-db-repl                          ClusterIP      10.96.212.194    <none>         5432/TCP                                                   52m   application=spilo,cluster-name=atom-db,spilo-role=replica
common                 cert-manager                          ClusterIP      10.109.248.7     <none>         9402/TCP                                                   53m   app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
common                 cert-manager-webhook                  ClusterIP      10.103.239.212   <none>         443/TCP                                                    53m   app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
common                 iam                                   ClusterIP      None             <none>         9091/TCP                                                   51m   app=iam
common                 kafka                                 ClusterIP      10.98.34.80      <none>         9092/TCP,5556/TCP                                          51m   app=kafka,release=kafka
common                 kafka-headless                        ClusterIP      None             <none>         9092/TCP                                                   51m   app=kafka,release=kafka
common                 postgres-operator                     ClusterIP      10.96.132.10     <none>         8080/TCP                                                   52m   app.kubernetes.io/instance=postgres-operator,app.kubernetes.io/name=postgres-operator
common                 storage                               ClusterIP      10.106.218.70    <none>         9090/TCP,8080/TCP                                          51m   app.kubernetes.io/instance=storage,app.kubernetes.io/name=storage
common                 zookeeper                             ClusterIP      10.110.34.242    <none>         2181/TCP,2888/TCP,3888/TCP                                 51m   app.kubernetes.io/component=zookeeper,app.kubernetes.io/instance=zookeeper,app.kubernetes.io/name=zookeeper
common                 zookeeper-headless                    ClusterIP      None             <none>         2181/TCP,2888/TCP,3888/TCP                                 51m   app.kubernetes.io/component=zookeeper,app.kubernetes.io/instance=zookeeper,app.kubernetes.io/name=zookeeper
default                kubernetes                            ClusterIP      10.96.0.1        <none>         443/TCP                                                    78m   <none>
ems                    dcs                                   ClusterIP      None             <none>         9091/TCP,7804/TCP                                          41m   app=dcs
