NAMESPACE              NAME                                  TYPE           CLUSTER-IP       EXTERNAL-IP    PORT(S)                                                    AGE     SELECTOR
ambassador             ambassador                            LoadBalancer   10.103.108.123   172.16.11.50   80:32387/TCP,443:31440/TCP,7804:31309/TCP,7000:32348/TCP   38h     app.kubernetes.io/instance=ambassador,app.kubernetes.io/name=ambassador
ambassador             ambassador-admin                      ClusterIP      10.99.185.57     <none>         8877/TCP                                                   38h     app.kubernetes.io/instance=ambassador,app.kubernetes.io/name=ambassador
auditlog               auditlog                              ClusterIP      10.109.143.53    <none>         9091/TCP                                                   38h     app=auditlog
common                 ambassador-auth-jwt                   ClusterIP      10.109.121.227   <none>         80/TCP                                                     38h     app=ambassador-auth-jwt
common                 atom-db                               ClusterIP      10.101.159.231   <none>         5432/TCP                                                   38h     <none>
common                 atom-db-config                        ClusterIP      None             <none>         <none>                                                     38h     <none>
common                 atom-db-repl                          ClusterIP      10.107.41.154    <none>         5432/TCP                                                   38h     application=spilo,cluster-name=atom-db,spilo-role=replica
common                 cert-manager                          ClusterIP      10.100.9.75      <none>         9402/TCP                                                   38h     app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
common                 cert-manager-webhook                  ClusterIP      10.96.188.5      <none>         443/TCP                                                    38h     app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
common                 iam                                   ClusterIP      None             <none>         9091/TCP                                                   38h     app=iam
common                 kafka                                 ClusterIP      10.107.205.133   <none>         9092/TCP,5556/TCP                                          38h     app=kafka,release=kafka
common                 kafka-headless                        ClusterIP      None             <none>         9092/TCP                                                   38h     app=kafka,release=kafka
common                 postgres-operator                     ClusterIP      10.99.120.91     <none>         8080/TCP                                                   38h     app.kubernetes.io/instance=postgres-operator,app.kubernetes.io/name=postgres-operator
common                 storage                               ClusterIP      10.96.188.140    <none>         9090/TCP,8080/TCP                                          38h     app.kubernetes.io/instance=storage,app.kubernetes.io/name=storage
common                 zookeeper                             ClusterIP      10.99.86.20      <none>         2181/TCP,2888/TCP,3888/TCP                                 38h     app.kubernetes.io/component=zookeeper,app.kubernetes.io/instance=zookeeper,app.kubernetes.io/name=zookeeper
common                 zookeeper-headless                    ClusterIP      None             <none>         2181/TCP,2888/TCP,3888/TCP                                 38h     app.kubernetes.io/component=zookeeper,app.kubernetes.io/instance=zookeeper,app.kubernetes.io/name=zookeeper
default                kubernetes                            ClusterIP      10.96.0.1        <none>         443/TCP                                                    38h     <none>
ems                    dcs                                   ClusterIP      None             <none>         9091/TCP,7804/TCP                                          38h     app=dcs
ems                    devicemanager                         ClusterIP      None             <none>         9091/TCP                                                   38h     app=devicemanager
ems                    devicemodel                           ClusterIP      None             <none>         9091/TCP                                                   38h     app=devicemodel
ems                    devicemodel-connector                 ClusterIP      None             <none>         9091/TCP                                                   38h     app=devicemodel-connector
ems                    dmonproxy                             ClusterIP      None             <none>         9091/TCP                                                   38h     app=dmonproxy
ems                    dpm                                   ClusterIP      None             <none>         9091/TCP                                                   38h     app=dpm
ems                    jobmanager                            ClusterIP      None             <none>         8090/TCP,9091/TCP                                          38h     app=jobmanager
ems                    jobstore                              ClusterIP      None             <none>         9091/TCP                                                   38h     app=jobstore
ems                    ztpservice                            ClusterIP      None             <none>         9090/TCP                                                   38h     app=ztpservice
ems                    ztpservicedhcp                        LoadBalancer   10.103.161.63    172.16.11.51   67:32543/UDP                                               38h     app=ztpservice
fault                  alarmmanager                          ClusterIP      10.104.0.55      <none>         9091/TCP                                                   38h     app=alarmmanager
fault                  telemetrymanager                      ClusterIP      10.104.19.46     <none>         9091/TCP                                                   38h     app=telemetrymanager
healthbot              alerta                                ClusterIP      10.111.251.165   <none>         9090/TCP                                                   38h     app=alerta
healthbot              api-server                            ClusterIP      10.100.188.231   <none>         9000/TCP                                                   38h     app=api-server
healthbot              argo-server                           ClusterIP      10.107.133.129   <none>         2746/TCP                                                   38h     app=argo-server
healthbot              config-server                         ClusterIP      10.106.189.113   <none>         9000/TCP                                                   38h     app=config-server
healthbot              debugger                              ClusterIP      10.102.206.126   <none>         22/TCP,50001/TCP                                           38h     app=debugger
healthbot              dg-controller-0-aed                   ClusterIP      10.98.75.176     <none>         33000/TCP                                                  37h     app=analytical-engine,group-name=controller,group-type=device-group,subgroup=0
healthbot              dg-controller-0-jti                   ClusterIP      10.98.119.216    <none>         4000/UDP,8070/TCP                                          37h     app=ingest-jti-native,group-name=controller,group-type=device-group,subgroup=0
healthbot              dg-controller-0-rds                   ClusterIP      10.105.138.95    <none>         8080/TCP                                                   37h     app=resource-discovery,group-name=controller,group-type=device-group,subgroup=0
healthbot              dg-controller-0-sys                   ClusterIP      10.105.239.0     <none>         8070/TCP,514/UDP                                           37h     app=hb-syslog,group-name=controller,group-type=device-group,subgroup=0
healthbot              dg-ems-grp-metrics-0-aed              ClusterIP      10.99.111.133    <none>         33000/TCP                                                  37h     app=analytical-engine,group-name=ems-grp-metrics,group-type=device-group,subgroup=0
healthbot              dg-ems-grp-metrics-0-rds              ClusterIP      10.109.229.226   <none>         8080/TCP                                                   37h     app=resource-discovery,group-name=ems-grp-metrics,group-type=device-group,subgroup=0
healthbot              dg-tm-dg-tenant1-juniper-0-aed        ClusterIP      10.97.32.252     <none>         33000/TCP                                                  7h23m   app=analytical-engine,group-name=tm-dg-tenant1-Juniper,group-type=device-group,subgroup=0
healthbot              dg-tm-dg-tenant1-juniper-0-jst        ClusterIP      10.99.98.213     <none>         8080/TCP                                                   7h23m   app=job-scheduler-training,group-name=tm-dg-tenant1-Juniper,group-type=device-group,healthbot.juniper.net/core-alias=job-scheduler,subgroup=0
healthbot              dg-tm-dg-tenant1-juniper-0-rds        ClusterIP      10.101.102.218   <none>         8080/TCP                                                   7h23m   app=resource-discovery,group-name=tm-dg-tenant1-Juniper,group-type=device-group,subgroup=0
healthbot              grafana                               ClusterIP      10.108.239.131   <none>         3000/TCP                                                   38h     app=grafana
healthbot              hb-proxy-syslog                       ClusterIP      10.97.177.216    <none>         8070/TCP                                                   38h     app=hb-proxy-syslog,group-name=healthbot,group-type=device-group
healthbot              hb-proxy-syslog-udp                   LoadBalancer   10.100.1.184     172.16.11.51   514:31869/UDP                                              38h     app=hb-proxy-syslog,group-name=healthbot,group-type=device-group
healthbot              inference-engine                      ClusterIP      10.98.180.80     <none>         8080/TCP,50051/TCP                                         38h     app=inference-engine
healthbot              influxdb                              ClusterIP      10.103.168.173   <none>         8086/TCP                                                   38h     app=tsdb-shim
healthbot              influxdb-node1                        ClusterIP      10.101.60.206    <none>         8086/TCP,8088/TCP                                          38h     app=influxdb,tsdb=node1
healthbot              ingest-jti-native-proxy               ClusterIP      10.105.157.182   <none>         8070/TCP                                                   37h     app=ingest-jti-native-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-jti-native-proxy-udp           LoadBalancer   10.106.205.119   172.16.11.51   4000:30568/UDP,11111:32520/UDP                             37h     app=ingest-jti-native-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-snmp-proxy                     ClusterIP      10.110.110.206   <none>         8070/TCP                                                   38h     app=ingest-snmp-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-snmp-proxy-preserve-sourceip   LoadBalancer   10.105.23.14     172.16.11.52   162:30315/UDP                                              38h     app=ingest-snmp-proxy,group-name=healthbot,group-type=device-group
healthbot              ingest-snmp-proxy-udp                 LoadBalancer   10.99.223.115    172.16.11.51   162:32384/UDP                                              38h     app=ingest-snmp-proxy,group-name=healthbot,group-type=device-group
healthbot              license-client                        ClusterIP      10.105.207.115   <none>         50052/TCP                                                  38h     app=license-client
healthbot              mgd                                   ClusterIP      10.110.144.235   <none>         22/TCP,6500/TCP,8082/TCP                                   38h     app=mgd
healthbot              reports                               ClusterIP      10.102.119.238   <none>         8080/TCP                                                   38h     app=reports
healthbot              rfs-redis                             ClusterIP      10.104.215.170   <none>         26379/TCP                                                  38h     app.kubernetes.io/component=sentinel,app.kubernetes.io/name=redis,app.kubernetes.io/part-of=redis-failover
healthbot              tsdb                                  ClusterIP      10.98.49.187     <none>         8086/TCP                                                   38h     app=tsdb-shim
healthbot              workflow-controller-metrics           ClusterIP      10.109.52.86     <none>         9090/TCP                                                   38h     app=workflow-controller
